Face mask (physical object),Medication Reconciliation (procedure),Plain chest X-ray (procedure),Throat culture (procedure),Fitness,Measurement of respiratory function (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Sputum examination (procedure)
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9999250056245782,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999920004799712,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999920004799712,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999920004799712,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.999920004799712,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.7499687523435743,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.7499687523435743,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.7499687523435743,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.7499687523435743,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998833430547455,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998833430547455,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998833430547455,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998833430547455,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998833430547455,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998800119988002,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
0,0,0.0,0.0,0.9998750156230471,0.0,0.0,0.0,0.0
