Face mask (physical object),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Fitness,Medication Reconciliation (procedure),Throat culture (procedure)
0,0.0,0.0,0.0,0.9999615386094669,0.0,0.0
0,0.0,0.0,0.0,0.9999615386094669,0.0,0.0
0,0.0,0.0,0.0,0.9999615386094669,0.0,0.0
0,0.0,0.0,0.0,0.9999615386094669,0.0,0.0
0,0.0,0.0,0.0,0.9999615386094669,0.0,0.0
0,0.0,0.0,0.0,0.9999615386094669,0.0,0.0
0,0.0,0.0,0.0,0.9999607144260199,0.0,0.0
0,0.0,0.0,0.0,0.9999607144260199,0.0,0.0
0,0.0,0.0,0.0,0.9999607144260199,0.0,0.0
0,0.0,0.0,0.0,0.9999607144260199,0.0,0.0
0,0.0,0.0,0.0,0.9999593751269528,0.0,0.0
0,0.0,0.0,0.0,0.9999593751269528,0.0,0.0
0,0.0,0.0,0.0,0.9999593751269528,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0
0,0.0,0.0,0.0,0.9999571440815976,0.0,0.0
0,0.0,0.0,0.0,0.9999571440815976,0.0,0.0
0,0.0,0.0,0.0,0.9999409107024354,0.0,0.0
0,0.0,0.0,0.0,0.9999409107024354,0.0,0.0
