Face mask (physical object),Medication Reconciliation (procedure),Fitness,Colonoscopy,Electrical cardioversion,Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Throat culture (procedure),Intramuscular injection,Measurement of respiratory function (procedure)
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
