Face mask (physical object),Medication Reconciliation (procedure),Fitness,Throat culture (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure)
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0
0,0.0,0.9999961538609466,0.0,0.0,0.0,0.0
0,0.0,0.9999970588321799,0.0,0.0,0.0,0.0
0,0.0,0.9999964285841836,0.0,0.0,0.0,0.0
0,0.0,0.9999966666777778,0.0,0.0,0.0,0.0
0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,0.7999680012799488,0.0,0.0,0.0,0.0
0,1.0,0.7999680012799488,0.0,0.0,0.0,0.0
0,1.0,0.7999680012799488,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.999950002499875,0.0,0.0,0.0,0.0
0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0.0,0.7999840003199936,1.0,0.0,0.0,0.0
0,0.0,0.7499812504687382,1.0,0.0,0.0,0.0
0,0.0,0.7499812504687382,1.0,0.0,0.0,0.0
