Bone density scan (procedure),Bone immobilization,Controlled ventilation procedure and therapy  initiation and management (procedure),Face mask (physical object),Insertion of endotracheal tube (procedure),Insertion of subcutaneous contraceptive,Medication Reconciliation (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Removal of subcutaneous contraceptive,Spirometry (procedure),Upper arm X-ray,Fitness,Hemodialysis (procedure),Pulmonary rehabilitation (regime/therapy),Transthoracic three dimensional ultrasonography of heart (procedure)
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999968750097656,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999968750097656,0.0,0.0,0.0
0.0,0.0,0,0,0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.8888855967200121,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999939394306702,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999935484287198,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999968750097656,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999968750097656,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999966666777778,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999966666777778,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999966666777778,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999942857469386,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999942857469386,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999937500390622,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.9999937500390622,0.0,0.0,0.0
0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.9142804898257724,0.0,1.0,1.0
