Colonoscopy,Face mask (physical object),Intramuscular injection,Medication Reconciliation (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Suture open wound,Throat culture (procedure),Fitness
0,0,0,0,0,0,0,0,1,0.8
0,0,0,0,0,0,0,0,1,0.8
0,0,0,0,0,0,0,0,1,0.8
0,0,0,0,0,0,0,0,1,0.8
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,1,0.7999680012799488
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,0.9999750006249843
0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,0,0,1.0
