Controlled ventilation procedure and therapy  initiation and management (procedure),Electrical cardioversion,Face mask (physical object),Insertion of endotracheal tube (procedure),Oxygen administration by mask (procedure),Placing subject in prone position (procedure),Plain chest X-ray (procedure),Fitness,Bone immobilization,Medication Reconciliation (procedure),Suture open wound,Upper arm X-ray,Hemodialysis (procedure),Pulmonary rehabilitation (regime/therapy),Spirometry (procedure),Transthoracic three dimensional ultrasonography of heart (procedure)
0,0.0,0,0,0,0,0,0.999948387596249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.999948387596249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999451618210147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999451618210147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.999948571869384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.999948571869384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999448281569501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999448281569501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999448281569501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999441179757766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999441179757766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999575760146908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999459462381285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999459462381285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999500002777763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999611113271593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999611113271593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9696577596499415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9696577596499415,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0,0,0,0,0,0.9999638890895051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
